197,70,"Deut.",4,46
198,70,"Deut.",34,6
199,70,"Josh.",13,20
200,71,"Judg.",18,28
201,71,"2Sam.",10,6
202,72,"Josh.",19,22
203,73,"Judg.",7,22
204,74,"Josh.",15,53
205,75,"Ezek.",27,14
206,75,"Ezek.",38,6
207,76,"Josh.",15,58
208,76,"2Chr.",11,7
209,76,"Neh.",3,16
210,77,"Josh.",13,26
211,78,"Judg.",1,4
212,78,"Judg.",1,5
213,79,"Acts.",16,7
214,79,"1Pet.",1,1
215,80,"Gen.",36,33
216,80,"1Chr.",1,44
217,80,"Isa.",34,6
218,80,"Isa.",63,1
219,80,"Jer.",49,13
220,80,"Jer.",49,22
221,80,"Amos.",1,12
222,81,"Num.",34,5
223,81,"Josh.",15,4
224,81,"Josh.",15,47
225,81,"1Kgs.",8,65
226,81,"2Kgs.",24,7
227,81,"2Chr.",7,8
228,81,"Isa.",27,12
229,81,"Ezek.",47,19
230,81,"Ezek.",48,28
231,82,"Josh.",19,27
232,83,"Gen.",10,11
233,83,"Gen.",10,12
234,84,"Gen.",10,10
235,84,"Amos.",6,2
236,85,"Acts.",2,9
237,85,"1Pet.",1,1
238,86,"Acts.",27,16
239,87,"Ezek.",1,1
240,87,"Ezek.",1,3
241,87,"Ezek.",3,15
242,87,"Ezek.",3,23
243,87,"Ezek.",10,15
244,87,"Ezek.",10,20
245,87,"Ezek.",10,22
246,87,"Ezek.",43,3
247,88,"Josh.",18,24
248,89,"Josh.",9,17
249,89,"Josh.",18,26
250,89,"Ezra.",2,25
251,89,"Neh.",7,29
252,90,"Josh.",15,10
253,91,"Josh.",19,18
254,92,"Acts.",20,15
255,93,"Acts.",27,7
256,93,"Acts.",27,12
257,93,"Acts.",27,13
258,93,"Acts.",27,21
259,93,"Titus.",1,5
260,94,"2Kgs.",17,30
261,95,"Isa.",23,1
262,95,"Isa.",23,12
263,95,"Jer.",2,10
264,95,"Ezek.",27,6
265,95,"Acts.",4,36
266,95,"Acts.",11,19
267,95,"Acts.",11,20
268,95,"Acts.",13,4
269,95,"Acts.",15,39
270,95,"Acts.",21,3
271,95,"Acts.",21,16
272,95,"Acts.",27,4
273,96,"Matt.",27,32
274,96,"Mark.",15,21
275,96,"Luke.",23,26
276,96,"Acts.",2,10
277,96,"Acts.",11,20
278,96,"Acts.",13,1
279,97,"Josh.",19,11
280,98,"2Tim.",4,10
281,99,"Josh.",15,49
282,100,"Josh.",15,7
283,101,"Jer.",25,23
284,101,"Jer.",49,8
285,101,"Ezek.",25,13
286,101,"Ezek.",27,15
287,101,"Ezek.",27,20
288,101,"Ezek.",38,13
289,102,"Josh.",21,35
290,103,"Gen.",36,32
291,103,"1Chr.",1,43
292,104,"Deut.",1,1
293,105,"Num.",33,12
294,105,"Num.",33,13
295,106,"Josh.",15,52
296,107,"Josh.",19,20
297,108,"Ezra.",6,2
298,109,"Deut.",2,8
299,109,"2Kgs.",14,22
300,109,"2Kgs.",16,6
301,110,"Num.",32,3
302,110,"Num.",32,37
303,110,"Isa.",15,4
304,110,"Isa.",16,9
305,110,"Jer.",48,34
306,111,"Ex.",15,27
307,111,"Ex.",16,1
308,111,"Num.",33,9
309,111,"Num.",33,10
310,112,"Gen.",14,1
311,112,"Gen.",14,9
312,113,"Josh.",19,43
313,114,"1Kgs.",4,9
314,115,"Josh.",19,44
315,116,"Josh.",15,59
316,117,"Josh.",15,34
317,118,"Ezek.",47,10
318,119,"Josh.",15,34
319,120,"Josh.",19,21
320,121,"Josh.",19,37
321,122,"Josh.",15,7
322,122,"Josh.",18,16
323,122,"2Sam.",17,17
324,122,"1Kgs.",1,9
325,123,"Josh.",15,7
326,123,"Josh.",18,17
327,124,"1Sam.",17,1
328,125,"Gen.",10,10
329,125,"Ezra.",4,9
330,126,"Josh.",15,52
331,127,"Josh.",15,33
332,127,"Josh.",19,41
333,127,"Judg.",13,25
334,127,"Judg.",16,31
335,127,"Judg.",18,2
336,127,"Judg.",18,8
337,127,"Judg.",18,11
338,128,"Judg.",15,8
339,128,"Judg.",15,11
340,129,"2Chr.",11,6
341,130,"Ex.",13,20
342,130,"Num.",33,6
343,130,"Num.",33,7
344,130,"Num.",33,8
345,131,"Est.",1,1
346,131,"Est.",8,9
347,131,"Job.",28,19
348,132,"Gen.",2,14
349,132,"Gen.",15,18
350,132,"Gen.",31,21
351,132,"Gen.",36,37
352,132,"Ex.",23,31
353,132,"Deut.",1,7
354,132,"Deut.",11,24
355,132,"Josh.",1,4
356,132,"Josh.",24,2
357,132,"2Sam.",8,3
358,132,"2Sam.",10,16
359,132,"1Kgs.",4,21
360,132,"1Kgs.",4,24
361,132,"1Kgs.",14,15
362,132,"2Kgs.",23,29
363,132,"2Kgs.",24,7
364,132,"1Chr.",1,48
365,132,"1Chr.",5,9
366,132,"1Chr.",18,3
367,132,"1Chr.",19,16
368,132,"2Chr.",9,26
369,132,"2Chr.",35,20
370,132,"Isa.",27,12
371,132,"Jer.",2,18
372,132,"Jer.",13,4
373,132,"Jer.",13,5
374,132,"Jer.",13,6
375,132,"Jer.",13,7
376,132,"Jer.",46,2
377,132,"Jer.",46,6
378,132,"Jer.",46,10
379,132,"Jer.",51,63
380,132,"Rev.",9,14
381,132,"Rev.",16,12
382,133,"Acts.",28,15
383,134,"1Sam.",25,44
384,134,"Isa.",10,30
385,135,"Isa.",10,31
386,136,"Josh.",15,36
387,136,"1Chr.",4,23
388,136,"1Chr.",12,4
389,137,"Josh.",15,58
390,137,"1Chr.",12,7
