h,3025,יָגֹר,Verb,yagor,(yaw-gore'),"to be afraid, fear","be afraid, fear ","A primitive root; to fear -- be afraid, fear. "
h,3026,יְגַר שׂהֲדוּתָא,Proper Name Location,Yegar Sahadutha,(yegar' sah-had-oo-thaw'),"heap (of stones) of the testimony,  a memorial of Jacob and Laban",Jegar-Sahadutha ,"(Aramaic) from a word derived from an unused root (meaning to gather) and a derivation of a root corresponding to (H7717) sahed; heap of the testimony; Jegar-Sahadutha, a cairn East of the Jordan -- Jegar-Sahadutha. see HEBREW (H7717) sahed "
h,3027,יָד,Noun Feminine,yad,(yawd),hand,"be able, about, armholes, at, axletree, because of, beside, border, ","A primitive word; a hand (the open one (indicating power, means, direction, etc.), in distinction from (H3709) kaph, the closed one); used (as noun, adverb, etc.) In a great variety of applications, both literally and figuratively, both proximate and remote (as follows) -- (+ be) able, X about, + armholes, at, axletree, because of, beside, border, X bounty, + broad, (broken-)handed, X by, charge, coast, + consecrate, + creditor, custody, debt, dominion, X enough, + fellowship, force, X from, hand(-staves, -y work), X he, himself, X in, labour, + large, ledge, (left-)handed, means, X mine, ministry, near, X of, X order, ordinance, X our, parts, pain, power, X presumptuously, service, side, sore, state, stay, draw with strength, stroke, + swear, terror, X thee, X by them, X themselves, X thine own, X thou, through, X throwing, + thumb, times, X to, X under, X us, X wait on, (way-)side, where, + wide, X with (him, me, you), work, + yield, X yourselves. see HEBREW (H3709) kaph "
h,3028,יַד,Noun Feminine,yad,(yad),hand,"hand, power ","(Aramaic) corresponding to (H3027) yad -- hand, power. see HEBREW (H3027) yad "
h,3029,יְדָא,Verb,yeda,(yed-aw'),to praise,give thanks ,(Aramaic) corresponding to (H3034) yadah; to praise -- (give) thank(-s). see HEBREW (H3034) yadah
h,3030,יִדְאֲלָה,Proper Name Location,Yidalah,(yid-al-aw'),a place in Zebulun,Idalah ,"Of uncertain derivation; Jidalah, a place in Palestine -- Idalah. "
h,3031,יִדְבָּשׂ,Proper Name Masculine,Yidbash,(yid-bawsh'),an Israelite,Idbash ,"From the same as (H1706) dbash; perhaps honeyed; Jidbash, an Israelite -- Idbash. see HEBREW (H1706) dbash "
h,3032,יָדַד,verb,yadad,(yaw-dad'),to cast a lot,cast ,"A primitive root; properly, to handle (compare (H3034) yadah), i.e. To throw, e.g. Lots -- cast. see HEBREW (H3034) yadah "
h,3033,יְדִדוּת,Noun Feminine,yediduth,(yed-ee-dooth'),love,dearly beloved ,"From (H3039) ydiyd; properly, affection; concretely, a darling object -- dearly beloved. see HEBREW (H3039) ydiyd "
h,3034,יָדָה,Verb,yadah,(yaw-daw'),"to throw, cast","cast out, make confession, praise, shoot, give thankful, ","A primitive root; used only as denominative from (H3027) yad; literally, to use (i.e. Hold out) the hand; physically, to throw (a stone, an arrow) at or away; especially to revere or worship (with extended hands); intensively, to bemoan (by wringing the hands) -- cast (out), (make) confess(-ion), praise, shoot, (give) thank(-ful, -s, -sgiving). see HEBREW (H3027) yad "
h,3035,יִדּוֹ,Proper Name Masculine,Yiddo,(yid-do'),two Israelites,Iddo ,"From (H3034) yadah; praised; Jiddo, an Israelite -- Iddo. see HEBREW (H3034) yadah "
