data/id,data/dblId,data/relatedDbl,data/name,data/nameLocal,data/abbreviation,data/abbreviationLocal,data/description,data/descriptionLocal,data/language/id,data/language/name,data/language/nameLocal,data/language/script,data/language/scriptDirection,data/countries/0/id,data/countries/0/name,data/countries/0/nameLocal,data/type,data/updatedAt,data/countries/1/id,data/countries/1/name,data/countries/1/nameLocal,data/countries/2/id,data/countries/2/name,data/countries/2/nameLocal,data/countries/3/id,data/countries/3/name,data/countries/3/nameLocal,data/countries/4/id,data/countries/4/name,data/countries/4/nameLocal,data/countries/5/id,data/countries/5/name,data/countries/5/nameLocal,data/audioBibles/0/id,data/audioBibles/0/name,data/audioBibles/0/nameLocal,data/audioBibles/0/dblId,data/countries/6/id,data/countries/6/name,data/countries/6/nameLocal,data/countries/7/id,data/countries/7/name,data/countries/7/nameLocal,data/countries/8/id,data/countries/8/name,data/countries/8/nameLocal,data/countries/9/id,data/countries/9/name,data/countries/9/nameLocal,data/countries/10/id,data/countries/10/name,data/countries/10/nameLocal,data/countries/11/id,data/countries/11/name,data/countries/11/nameLocal,data/countries/12/id,data/countries/12/name,data/countries/12/nameLocal,data/countries/13/id,data/countries/13/name,data/countries/13/nameLocal,data/countries/14/id,data/countries/14/name,data/countries/14/nameLocal
98d1c5bee401f80c-01,98d1c5bee401f80c,,The New Testament in Lughulu,Laghano Lya Sambi Kwe Iwanu Wose,LBV,LBV,New Testament,New Testament,ruf,Chilughuru,Luguru,Roman,LTR,TZ,Tanzania,Tanzania,text,2020-09-11T23:28:32.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb3df4b7c8587c77-01,bb3df4b7c8587c77,,Sanskrit Bible (NT) in Assamese Script (সত্যৱেদঃ।),সত্যৱেদঃ। Sanskrit Bible (NT) in Assamese Script,SANAS,SANAS,Sanskrit Bible (NT) in Assamese Script (সত্যৱেদঃ।),সত্যৱেদঃ। Sanskrit Bible (NT) in Assamese Script,san,Sanskrit,Saṃskṛtam,Bengali,LTR,IN,India,India,text,2020-09-15T05:41:13.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d1ad2c921d811c3-01,8d1ad2c921d811c3,,Sanskrit Bible (NT) in Bengali Script,সত্যবেদঃ। Sanskrit Bible (NT) in Bengali Script,SANBN,SANBN,Sanskrit Bible (NT) in Bengali Script (সত্যবেদঃ।),Sanskrit Bible (NT) in Bengali Script (সত্যবেদঃ।),san,Sanskrit,Saṃskṛtam,Bengali,LTR,IN,India,India,text,2020-09-11T22:50:47.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9449d4ad98193779-01,9449d4ad98193779,,Sanskrit Bible (NT) in Burmese Script (သတျဝေဒး၊),သတျဝေဒး၊ Sanskrit Bible (NT) in Burmese Script (),SANBU,SANBU,Sanskrit Bible (NT) in Burmese Script (သတျဝေဒး၊),သတျဝေဒး၊ Sanskrit Bible (NT) in Burmese Script (),san,Sanskrit,Saṃskṛtam,Code for uncoded script,LTR,IN,India,India,text,2020-09-11T23:14:02.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33b6449cacf22773-01,33b6449cacf22773,,Sanskrit Bible (NT) in Cologne Script (satyavEdaH|),satyavEdaH| Sanskrit Bible (NT) in Cologne Script,SANCO,SANCO,Sanskrit Bible (NT) in Cologne Script (satyavEdaH|,satyavEdaH| Sanskrit Bible (NT) in Cologne Script,san,Sanskrit,Saṃskṛtam,Latin,LTR,IN,India,India,text,2020-09-11T18:11:11.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9ea572977b4f504-01,e9ea572977b4f504,,Sanskrit Bible (NT) in Gujarati Script (સત્યવેદઃ।),સત્યવેદઃ। Sanskrit Bible (NT) in Gujarati Script,SANGJ,SANGJ,Sanskrit Bible (NT) in Gujarati Script (સત્યવેદઃ।),સત્યવેદઃ। Sanskrit Bible (NT) in Gujarati Script,san,Sanskrit,Saṃskṛtam,Gujarati,LTR,IN,India,India,text,2020-07-29T02:20:56.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89007ccbb2eb5187-01,89007ccbb2eb5187,,Sanskrit Bible (NT) in Harvard-Kyoto Script (satyavedaH|),satyavedaH| Sanskrit Bible (NT) in Harvard-Kyoto Script,SANHK,SANHK,Sanskrit Bible (NT) in Harvard-Kyoto Script (satyavedaH|),satyavedaH| Sanskrit Bible (NT) in Harvard-Kyoto Script,san,Sanskrit,Saṃskṛtam,Latin,LTR,IN,India,India,text,2020-09-11T22:39:50.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0b07fcef627a2db2-01,0b07fcef627a2db2,,Sanskrit Bible (NT) in IAST Script (satyavedaḥ|),satyavedaḥ| Sanskrit Bible (NT) in IAST Script,SANIA,SANIA,Sanskrit Bible (NT) in IAST Script (satyavedaḥ|),satyavedaḥ| Sanskrit Bible (NT) in IAST Script,san,Sanskrit,Saṃskṛtam,Latin,LTR,IN,India,India,text,2020-09-15T03:30:46.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4599ff3c6b97f3a-01,d4599ff3c6b97f3a,,Sanskrit Bible (NT) in ISO Script (satyavēdaḥ|),satyavēdaḥ| Sanskrit Bible (NT) in ISO Script,SANIS,SANIS,Sanskrit Bible (NT) in ISO Script (satyavēdaḥ|),satyavēdaḥ| Sanskrit Bible (NT) in ISO Script,san,Sanskrit,Saṃskṛtam,Latin,LTR,IN,India,India,text,2020-09-12T00:33:45.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6bc5ae3d6dd9009a-01,6bc5ae3d6dd9009a,,Sanskrit Bible (NT) in ITRANS Script (satyavedaH|),satyavedaH| Sanskrit Bible (NT) in ITRANS Script,SANIT,SANIT,Sanskrit Bible (NT) in ITRANS Script (satyavedaH|),satyavedaH| Sanskrit Bible (NT) in ITRANS Script,san,Sanskrit,Saṃskṛtam,Latin,LTR,IN,India,India,text,2020-09-15T04:44:35.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1f49ed98a65a544-01,c1f49ed98a65a544,,Sanskrit Bible (NT) in Kannada Script (ಸತ್ಯವೇದಃ।),ಸತ್ಯವೇದಃ। Sanskrit Bible (NT) in Kannada Script,SANKA,SANKA,Sanskrit Bible (NT) in Kannada Script (ಸತ್ಯವೇದಃ।),ಸತ್ಯವೇದಃ। Sanskrit Bible (NT) in Kannada Script,san,Sanskrit,Saṃskṛtam,Kannada,LTR,IN,India,India,text,2020-07-28T23:21:16.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6bb8b0fa7aca67c6-01,6bb8b0fa7aca67c6,,Sanskrit Bible (NT) in Khmer Script (សត្យវេទះ។),សត្យវេទះ។ Sanskrit Bible (NT) in Khmer Script,SANKH,SANKH,Sanskrit Bible (NT) in Khmer Script (សត្យវេទះ។),សត្យវេទះ។ Sanskrit Bible (NT) in Khmer Script,san,Sanskrit,Saṃskṛtam,Code for uncoded script,LTR,KH,Cambodia,Cambodia,text,2020-09-11T21:09:35.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119375d97b57cf04-01,119375d97b57cf04,,Sanskrit Bible (NT) in Malayalam Script (സത്യവേദഃ।),സത്യവേദഃ। Sanskrit Bible (NT) in Malayalam Script,SANML,SANML,Sanskrit Bible (NT) in Malayalam Script (സത്യവേദഃ।),സത്യവേദഃ। Sanskrit Bible (NT) in Malayalam Script,san,Sanskrit,Saṃskṛtam,Malayalam,LTR,IN,India,India,text,2020-09-11T15:05:44.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a27fd2a2de187c8-01,5a27fd2a2de187c8,,Sanskrit Bible (NT) in Oriya Script (ସତ୍ୟୱେଦଃ।),ସତ୍ୟୱେଦଃ। Sanskrit Bible (NT) in Oriya Script,SANOR,SANOR,Sanskrit Bible (NT) in Oriya Script (ସତ୍ୟୱେଦଃ।),ସତ୍ୟୱେଦଃ। Sanskrit Bible (NT) in Oriya Script,san,Sanskrit,Saṃskṛtam,Oriya,LTR,IN,India,India,text,2020-09-11T20:14:18.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07225eadadcb079a-01,07225eadadcb079a,,Sanskrit Bible (NT) in Punjabi Script (ਸਤ੍ਯਵੇਦਃ।),ਸਤ੍ਯਵੇਦਃ। Sanskrit Bible (NT) in Punjabi Script,SANPN,SANPN,Sanskrit Bible (NT) in Punjabi Script (ਸਤ੍ਯਵੇਦਃ।),ਸਤ੍ਯਵੇਦਃ। Sanskrit Bible (NT) in Punjabi Script,san,Sanskrit,Saṃskṛtam,Code for uncoded script,LTR,IN,India,India,text,2020-09-11T14:32:43.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2c2cf8df5a22a46e-01,2c2cf8df5a22a46e,,Sanskrit Bible (NT) in Sinhala Script (සත්‍යවේදඃ।),සත්‍යවේදඃ। Sanskrit Bible (NT) in Sinhala Script,SANSI,SANSI,Sanskrit Bible (NT) in Sinhala Script (සත්‍යවේදඃ।),සත්‍යවේදඃ। Sanskrit Bible (NT) in Sinhala Script,san,Sanskrit,Saṃskṛtam,Code for uncoded script,LTR,LK,Sri Lanka,Sri Lanka,text,2020-09-11T17:41:28.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143e0e03cf5b12ae-01,143e0e03cf5b12ae,,Sanskrit Bible (NT) in Tamil Script (ஸத்யவேத³​:।),ஸத்யவேத³​:। Sanskrit Bible (NT) in Tamil Script,SANTM,SANTM,Sanskrit Bible (NT) in Tamil Script (ஸத்யவேத³​:।),ஸத்யவேத³​:। Sanskrit Bible (NT) in Tamil Script,san,Sanskrit,Saṃskṛtam,Tamil,LTR,IN,India,India,text,2020-09-15T03:38:11.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa146959e1d39b78-01,aa146959e1d39b78,,Sanskrit Bible (NT) in Telugu Script (సత్యవేదః।),సత్యవేదః। Sanskrit Bible (NT) in Telugu Script,SANTE,SANTE,Sanskrit Bible (NT) in Telugu Script (సత్యవేదః।),సత్యవేదః। Sanskrit Bible (NT) in Telugu Script,san,Sanskrit,Saṃskṛtam,Telugu,LTR,IN,India,India,text,2020-07-28T21:14:35.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306d6ab1ca333a1e-01,306d6ab1ca333a1e,,Sanskrit Bible (NT) in Thai Script (สตฺยเวท:ฯ),สตฺยเวท:ฯ Sanskrit Bible (NT) in Thai Script,SANTH,SANTH,Sanskrit Bible (NT) in Thai Script (สตฺยเวท:ฯ),สตฺยเวท:ฯ Sanskrit Bible (NT) in Thai Script,san,Sanskrit,Saṃskṛtam,Thai,LTR,TH,Thailand,Thailand,text,2020-09-11T17:57:25.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018ff00d7f55cbc1-01,018ff00d7f55cbc1,,Sanskrit Bible (NT) in Tibetan Script (སཏྱཝེདཿ།),སཏྱཝེདཿ། Sanskrit Bible (NT) in Tibetan Script,SANTI,SANTI,Sanskrit Bible (NT) in Tibetan Script (སཏྱཝེདཿ།),སཏྱཝེདཿ། Sanskrit Bible (NT) in Tibetan Script,san,Sanskrit,Saṃskṛtam,Tibetan,LTR,CN,China,China,text,2020-09-11T22:13:39.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51b16e0b4b7c9825-01,51b16e0b4b7c9825,,Sanskrit Bible (NT) in Urdu Script (سَتْیَویدَح۔),سَتْیَویدَح۔ Sanskrit Bible (NT) in Urdu Script,SANUR,SANUR,Sanskrit Bible (NT) in Urdu Script (سَتْیَویدَح۔),سَتْیَویدَح۔ Sanskrit Bible (NT) in Urdu Script,san,Sanskrit,Saṃskṛtam,Arabic,RTL,IN,India,India,text,2020-09-11T19:43:27.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9a875168ff4df1a3-01,9a875168ff4df1a3,,Sanskrit Bible (NT) in Velthuis Script (satyaveda.h|),satyaveda.h| Sanskrit Bible (NT) in Velthuis Script,SANVE,SANVE,Sanskrit Bible (NT) in Velthuis Script (satyaveda.h|),satyaveda.h| Sanskrit Bible (NT) in Velthuis Script,san,Sanskrit,Saṃskṛtam,Latin,LTR,IN,India,India,text,2020-09-11T23:35:58.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8b40ccabe793c0d-01,e8b40ccabe793c0d,,Sanskrit NT in Devanagari,सत्यवेदः। Sanskrit NT in Devanagari,SAN-DN,SAN-DN,Sanskrit NT in Devanagari,सत्यवेदः। Sanskrit NT in Devanagari,san,Sanskrit,Saṃskṛtam,Devanagari,LTR,IN,India,India,text,2020-07-29T02:15:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
